# Source: Peter Ertl supplementary table from 10.1021/acs.jnatprod.8b01022
FG animals plants fungi bacteria synth.
[R]OC(=O)C=CC=CC=C 0.08 0.05 0.18 0.32 0
[R]C(=O)C=CC=CC=C 0.19 0.05 0.28 0.1 0
[R]OCOCOC=CC(=O)O[R] 0.05 0.55 0 0 0
[R]N=C=S 0.42 0.05 0 0.13 0
[R]S 0.11 0.07 0.03 0.17 0.22
[R]C(=O)C(=CO)C(O)=O 0 0 0.04 0.55 0
[Oar+] 0.07 0.51 0.01 0 0
[R]N(O)C=O 0 0 0.01 0.55 0
[R]N([R])CO 0.09 0.23 0.01 0.21 0
[R]C(=O)OC=C 0.07 0.13 0.26 0.07 0.01
C=CC=CC=CC=CC=C 0.03 0.01 0.07 0.43 0
[Nar]N=C 0 0 0 0.01 0.52
O[Nar] 0 0.01 0.32 0.19 0.01
C=CC(=O)C1CO1 0.02 0.05 0.43 0.03 0
[R]N([R])N=C 0 0 0 0 0.53
BrC=C 0.41 0.05 0.01 0.03 0.02
[R]C(=O)OCOC=C 0.34 0.15 0.02 0 0
[R]ON=CC(=O)N([R])[R] 0.46 0 0.02 0.01 0.02
[R]C(=O)C(=CO)C([R])=O 0.02 0.11 0.09 0.29 0
[R]N(N=C)C([R])=O 0 0 0 0.18 0.3
[R]N([R])C(=O)N([R])C([R])=O 0.05 0 0.01 0.02 0.39
[R]N([R])C(=O)C=CC=CC=C 0.06 0 0.07 0.34 0
[R]N([R])C(=S)N([R])C([R])=O 0 0 0 0 0.47
[R]SC([R])=O 0.06 0.02 0.02 0.33 0.03
[R]OCOCO 0.06 0.17 0.15 0.06 0.02
[R]SC1CC(=O)N1C(=C)C(O)=O 0 0 0.07 0.38 0.01
[R]N([R])C=CC([R])=O 0.01 0.02 0.02 0.12 0.28
[R]N([R])C(=O)C(=O)N([R])[R] 0.03 0 0.01 0 0.41
OC(=O)C=CC=CC=C 0 0 0.1 0.35 0
[R]N([R])CN([R])[R] 0.24 0.1 0.05 0.02 0.04
C=CC#CC#C 0.21 0.14 0.09 0.01 0
[R]C(=O)C(Cl)=[Car] 0 0 0.44 0 0
[R]C([Nar])=O 0.02 0.04 0.07 0.11 0.17
[R]OC(=CBr)C(Br)=C 0.41 0 0 0 0
[R]OP(O)(=O)O[R] 0.2 0.02 0.02 0.15 0.01
[R]N(C=C)C=O 0.28 0.01 0.01 0.1 0
C=CC=CC=CC=CC=CC=CC=C 0.01 0.01 0.02 0.36 0
ON=C 0.03 0 0.01 0.27 0.08
[R]N([R])C(=O)C(O)=CC([R])=O 0 0 0 0 0.37
[R]N([R])C=C 0.12 0.1 0.03 0.01 0.1
[R]OC=O 0.07 0.14 0.1 0.04 0
O=[Nar] 0.01 0.02 0.04 0.22 0.06
[R]OC(=C)C([R])=O 0.1 0.18 0.06 0.01 0
[R]OCOCOC=C 0 0.35 0 0 0
[R]C(=O)C(O)=O 0.01 0.02 0.1 0.22 0
[R]OC(=O)C(O[R])=CC=C 0 0 0 0.35 0
C=CC=CC=CC=CC=CC=CC=CC=CC=C 0.16 0.02 0.01 0.16 0
[R]OC=CN([R])C([R])=O 0 0 0 0.34 0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0.06 0.02 0.01 0.25 0
[R]N([R])C=[Car] 0.08 0.01 0.04 0.02 0.19
[R]OC(=O)C=CC([R])=O 0.05 0.09 0.17 0.02 0
[R]N([R])S(=O)(=O)N([R])[R] 0 0 0 0 0.33
[R]SCN([R])C([R])=O 0 0 0.05 0.07 0.2
[R]ON([R])C([R])=O 0.01 0.07 0.11 0.07 0.06
[R]OCOCN([R])C([R])=O 0.15 0 0 0.17 0
[R]OC(=O)N([R])CO 0.01 0.02 0 0.29 0
[R]N(O)[R] 0.16 0.01 0.03 0.1 0.01
C=CC=CC=O 0.06 0.06 0.14 0.05 0
C=COC=C 0.02 0.01 0.27 0 0
[R]ON([R])[R] 0.13 0.01 0.01 0.02 0.13
[R]OC(=O)C=CN([R])[R] 0 0.22 0 0 0.08
[R]O[Nar] 0.03 0.04 0.19 0.01 0.02
[R]SSS[R] 0.04 0.01 0.18 0.06 0
OC(=C)C(O)=O 0.01 0.02 0.2 0.05 0
[R]C(=O)C1OC1C([R])=O 0.01 0.01 0.04 0.22 0
C1OC1C2CO2 0.11 0.08 0.02 0.07 0
[R]OCOC(=O)C=C 0.04 0.2 0.02 0.01 0
[R]OCN([R])C(=N[R])N([R])[R] 0.18 0 0 0.09 0
[R]OC(=O)C(=C)C([R])=O 0.08 0.01 0.15 0.03 0
[R]N1CC(=O)N([R])C(=C)C1=O 0.02 0 0.18 0.06 0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0.01 0 0.02 0.23 0
[R]N(O)C(=O)C=C 0 0 0.18 0.08 0
[R]C(=O)OCOCOC([R])=O 0.24 0.02 0 0 0
C=CC=CC(=O)C=C 0.19 0.02 0.03 0.01 0
OC=CC(O)=O 0.16 0 0.08 0.01 0
[R]OC(=O)C=CO 0.01 0.04 0.05 0.15 0
[R]ON=C 0.03 0 0.01 0 0.2
[R]N(C=C)C(=O)C(=C)N([R])C([R])=O 0.04 0 0.02 0.18 0
[R]OC(=O)C=COP(=O)(O[R])O[R] 0 0 0 0.23 0
BrC=CC=C 0.12 0.01 0 0.1 0
[R]P(O)(O)=O 0.02 0 0 0.2 0.01
[R]OS([R])(=O)=O 0.01 0 0 0.01 0.21
[R]N([R])C(=O)C(=O)C=CO 0 0 0 0 0.22
[R]OC(=O)C=CC1CO1 0.01 0.07 0.1 0.04 0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C 0.09 0.02 0.01 0.1 0
[R]N([R])[Nar] 0 0 0 0.04 0.18
C=C=C 0.09 0.01 0.12 0 0
BrC(Br)=C 0.19 0.01 0.01 0 0
[R]SSSS[R] 0 0.01 0.19 0.01 0
[R]OC(=O)C=CC(O)=O 0 0.01 0.07 0.13 0
[R]N([R])C=S 0 0 0 0.13 0.08
[R]N=N([R])=[Car] 0 0 0.01 0.2 0
[R]N(C(=O)C=CC=CC=C)C(=CO)C([R])=O 0 0 0 0.21 0
[R]OC(=O)C(=C)C=C 0.02 0.04 0.11 0.04 0
[R]SCN([R])[R] 0.02 0 0 0.15 0.04
[R]OC(=O)C=CN([R])C(=O)N([R])[R] 0 0 0 0 0.21
[R]N=C(N([R])[R])N([R])CO 0.14 0 0 0.06 0
[R]C(=O)C=C(O)C=CC=C 0 0 0.2 0 0
ClC=CC=C 0.02 0.01 0.13 0.04 0
[R]N=CO 0 0.01 0 0.01 0.18
[R]OC(=O)O[R] 0 0.02 0.12 0.04 0.02
[R]C(=O)N=[Car] 0 0 0 0 0.19
[R]OC(=C)C(=O)O[R] 0.01 0.01 0.11 0.06 0
[R]N(CN([R])C([R])=O)C([R])=O 0.01 0.03 0.11 0.02 0.02
[R]C(=O)C=CC(O)=O 0.02 0.03 0.1 0.03 0
[R]OCOCOC=CC(O)=O 0 0.18 0 0 0
[R]OCS[R] 0.01 0.01 0 0.15 0.01
[R]N(COC([R])=O)C([R])=O 0 0 0 0.17 0
[R]N(C([R])=O)S([R])(=O)=O 0 0 0 0.01 0.16
[R]C(=O)C(Br)=C 0.15 0 0.01 0.01 0
[R]OC(=O)C(=C)N([R])C([R])=O 0 0 0.02 0.14 0.01
[R]OC(=CBr)C(Br)=COCON=CC(=O)N([R])[R] 0.17 0 0 0 0
[R]OC(=O)C=CC=CC=CC=CC=C 0 0 0 0.16 0
OS(=O)(=O)OC=C 0.16 0 0 0 0
